ID,Text,Colour,Position,Date,Pass_Ct,Rej_Ct
6454,撕！敢不敢别刷自己初中,white,Top,"12/29/2016, 7:49:53 PM",6,2
2207,老傅是巨啊,red,Bottom,"12/29/2016, 7:03:34 PM",5,0
7038,巴萨翻盘 梅西主宰国家德比！！！！！！！,red,Top,"12/29/2016, 7:54:52 PM",7,2
4760,我是王嘉尔，我爱陈晓葳,white,Top,"12/29/2016, 7:25:18 PM",7,1
6074,3448,blue,Top,"12/29/2016, 7:47:04 PM",9,0
8549,表白紫竹1801小赵SAM赵娴旻宝贝！！,red,Bottom,"12/29/2016, 8:05:42 PM",8,0
10565,表白周珂！！！周珂世界第一可爱！！！,blue,Top,"12/29/2016, 8:39:13 PM",0,0
2904,不能摆脱对嘴嘴的依附性,white,Top,"12/29/2016, 7:11:52 PM",1,4
6365,肱四头肌,red,Bottom,"12/29/2016, 7:49:07 PM",7,2
2700,1803ttt表白曹巨远,green,Bottom,"12/29/2016, 7:08:16 PM",6,0
4293,张江集团万岁！,green,Top,"12/29/2016, 7:22:17 PM",7,0
3183,GOT7 JJP 伉俪大法好！！！！,white,Bottom,"12/29/2016, 7:15:00 PM",5,2
3140,搞个大新闻,white,Top,"12/29/2016, 7:14:38 PM",7,0
8633,想吃那个蛋,white,Top,"12/29/2016, 8:06:50 PM",7,1
12177,lak表白syw(⁄ ⁄•⁄ω⁄•⁄ ⁄),red,Top,"12/29/2016, 9:15:45 PM",7,0
10721,请不要扔瓶子，当然，扔手机是表示赞同的,blue,Bottom,"12/29/2016, 8:41:17 PM",6,0
6007,前排独占渡辺麻友 小嶋陽菜 斎藤飛鳥 桜井玲香 渡邉理佐 渡辺梨加 志田愛佳,red,Top,"12/29/2016, 7:46:39 PM",9,0
11375,一九五八 二零一六,white,Top,"12/29/2016, 8:53:58 PM",6,0
3044,16届出国的带波节奏？？,white,Top,"12/29/2016, 7:13:46 PM",5,0
6993,JYP大法好！大猩猩我爱你！,white,Top,"12/29/2016, 7:54:36 PM",9,0
6129,1802李圣龙表白张逸然 1802李圣龙表白张逸然 1802李圣龙表白张逸然,white,Bottom,"12/29/2016, 7:47:18 PM",8,1
11717,手机手电筒亮起来！！！！！,white,Top,"12/29/2016, 9:03:29 PM",6,0
4574,R凡说她要蒲东！,red,Top,"12/29/2016, 7:24:03 PM",7,0
6504,阳光大佬，记得take shower,white,Bottom,"12/29/2016, 7:50:21 PM",8,0
3948,王秋琪和学霸君 (*≧▽≦) ,white,Top,"12/29/2016, 7:19:53 PM",7,0
10073,采薇采薇，薇亦作止。曰归曰归，岁亦莫止。 靡室靡家，猃狁之故。,blue,Bottom,"12/29/2016, 8:21:50 PM",7,0
2308,曾爷万岁,white,Top,"12/29/2016, 7:04:37 PM",5,0
4446,都在看腿,blue,Bottom,"12/29/2016, 7:23:16 PM",8,0
8135,你们真是 极其优秀,red,Top,"12/29/2016, 8:02:35 PM",9,0
3153,真老大你缺不缺女婿,blue,Top,"12/29/2016, 7:14:42 PM",6,1
5561, 王骏是全二附中最骚的骚猪,green,Bottom,"12/29/2016, 7:43:56 PM",8,1
4450,领袖是大家的,white,Top,"12/29/2016, 7:23:18 PM",7,0
6541,表白中间小哥,blue,Top,"12/29/2016, 7:50:51 PM",8,0
5811,这，这又如，如何能行啊,white,Top,"12/29/2016, 7:45:34 PM",7,0
7297,表白新竹园~~,green,Bottom,"12/29/2016, 7:56:46 PM",8,1
8092,我主校蛋王表示不服,red,Bottom,"12/29/2016, 8:02:12 PM",8,1
10177,祁轶凡我爱你! 祁轶凡我爱你 祁轶凡我爱你,white,Top,"12/29/2016, 8:22:47 PM",6,0
